Sample	Aligned Reads
10_FR_5_1_REP1	11020985.0
11_ZI_6_1_REP1	13556469.0
12_FR_6_1_REP1	18578026.0
13_ZI_1_2_REP1	29875176.0
14_FR_1_2_REP1	14763695.0
15_ZI_2_2_REP1	15200246.0
16_FR_2_2_REP1	16278193.0
17_ZI_3_2_REP1	11617975.0
18_FR_3_2_REP1	17027352.0
19_ZI_4_2_REP1	17905091.0
1_ZI_1_1_REP1	15467289.0
20_FR_4_2_REP1	20634346.0
21_ZI_5_2_REP1	13856724.0
22_FR_5_2_REP1	8519289.0
23_ZI_6_2_REP1	17050618.0
24_FR_6_2_REP1	18021297.0
25_ZI_1_3_REP1	17374704.0
26_FR_1_3_REP1	18684700.0
27_ZI_2_3_REP1	18584892.0
28_FR_2_3_REP1	13870991.0
29_ZI_3_3_REP1	22143853.0
2_FR_1_1_REP1	16758912.0
30_FR_3_3_REP1	24963551.0
31_ZI_4_3_REP1	18359410.0
32_FR_4_3_REP1	20720529.0
33_ZI_5_3_REP1	17004344.0
34_FR_5_3_REP1	18080790.0
35_ZI_6_3_REP1	17680594.0
36_FR_6_3_REP1	21087076.0
3_ZI_2_1_REP1	17302417.0
4_FR_2_1_REP1	17979761.0
5_ZI_3_1_REP1	21649699.0
6_FR_3_1_REP1	13824691.0
7_ZI_4_1_REP1	15299219.0
8_FR_4_1_REP1	19120147.0
9_ZI_5_1_REP1	11674695.0
