Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
10_FR_5_1	29839149.0	127.0	18730395.0	62.77	140.59	3222472.0	3156737.0	3187896.0	22157.0	2551.0	9868.0	0.63	0.28	1.23	0.26	1.19	3530191.0	11.83	115929.0	0.39	4.63	20.04	0.34	1381527	5979656	101451	74.60000000000001	22260586.0
11_ZI_6_1	40776343.0	137.0	27671818.0	67.86	140.78	4850474.0	4743595.0	4792288.0	34887.0	3392.0	19907.0	0.84	0.33	1.3	0.28	1.26	4366407.0	10.71	129355.0	0.32	5.12	15.7	0.3	2086973	6399507	122284	78.57	32038225.0
12_FR_6_1	38352274.0	145.0	25056359.0	65.33	154.74	4619922.0	4518714.0	4569280.0	32759.0	2877.0	15006.0	0.69	0.32	1.23	0.29	1.2	3983405.0	10.39	202718.0	0.53	5.56	17.82	0.37	2132650	6835221	141921	75.72	29039764.0
13_ZI_1_2	34651154.0	142.0	21258902.0	61.35	154.01	4169340.0	4080407.0	4121386.0	29285.0	2342.0	16327.0	0.91	0.37	1.29	0.32	1.25	3650162.0	10.53	92756.0	0.27	6.57	20.89	0.39	2276342	7237867	135125	71.88	24909064.0
14_FR_1_2	41320076.0	144.0	27275368.0	66.01	153.21	5166716.0	5061801.0	5110130.0	36621.0	3075.0	16890.0	0.69	0.32	1.22	0.3	1.19	4152605.0	10.05	237353.0	0.57	5.5	17.61	0.25	2273165	7278260	103326	76.06	31427973.0
15_ZI_2_2	39708588.0	149.0	26096915.0	65.72	156.17	5033785.0	4923702.0	4973708.0	35564.0	3278.0	21235.0	0.89	0.35	1.31	0.33	1.25	4156700.0	10.47	103271.0	0.26	6.3	16.88	0.37	2501729	6703046	146927	76.19	30253615.0
16_FR_2_2	41442910.0	151.0	28059578.0	67.71	157.61	5418023.0	5305653.0	5358405.0	37841.0	3360.0	18417.0	0.71	0.32	1.23	0.3	1.19	4045541.0	9.76	406454.0	0.98	5.8	15.36	0.39	2403794	6365909	161634	77.47	32105119.0
17_ZI_3_2	51833261.0	146.0	33972018.0	65.54	152.05	6418539.0	6277784.0	6344437.0	44813.0	4131.0	25158.0	0.85	0.33	1.31	0.31	1.25	5317216.0	10.26	165954.0	0.32	5.65	17.88	0.36	2927422	9264125	186526	75.80000000000001	39289234.0
18_FR_3_2	45794201.0	141.0	29303766.0	63.99	152.04	5447605.0	5332634.0	5388879.0	37474.0	3660.0	17592.0	0.72	0.33	1.23	0.31	1.19	4666001.0	10.19	196706.0	0.43	5.92	19.06	0.41	2711152	8728810	187766	74.18	33969767.0
19_ZI_4_2	35563322.0	141.0	23338567.0	65.63	149.44	4543414.0	4447661.0	4492209.0	31838.0	2913.0	16454.0	0.84	0.33	1.29	0.28	1.26	3850599.0	10.83	95120.0	0.27	5.55	17.36	0.38	1972892	6171063	135081	76.46	27189166.0
1_ZI_1_1	48007104.0	135.0	30747315.0	64.05	145.4	6036177.0	5913300.0	5969159.0	42663.0	3455.0	20900.0	0.83	0.32	1.29	0.29	1.24	5205741.0	10.84	122129.0	0.25	5.3	19.31	0.24	2544836	9271845	115238	74.89	35953056.0
20_FR_4_2	48099236.0	142.0	30686098.0	63.8	153.83	5685952.0	5562236.0	5624699.0	39577.0	3629.0	18047.0	0.68	0.31	1.22	0.3	1.19	5075763.0	10.55	214890.0	0.45	5.62	19.19	0.39	2703507	9231369	187610	74.35	35761861.0
21_ZI_5_2	39720784.0	147.0	25294580.0	63.68	155.5	4869712.0	4756545.0	4812918.0	34172.0	3083.0	19539.0	0.89	0.36	1.32	0.32	1.25	4306368.0	10.84	130726.0	0.33	6.35	18.29	0.51	2522101	7264446	202562	74.52	29600948.0
22_FR_5_2	33430525.0	147.0	21782874.0	65.16	156.61	4148110.0	4061781.0	4102217.0	29528.0	2495.0	13870.0	0.71	0.32	1.23	0.3	1.2	3540355.0	10.59	119910.0	0.36	5.8	17.76	0.33	1939173	5937881	110332	75.75	25323229.0
23_ZI_6_2	42023747.0	150.0	26439267.0	62.92	159.37	5133028.0	5014005.0	5072065.0	36230.0	3424.0	21309.0	0.9	0.35	1.32	0.33	1.26	4481377.0	10.66	138472.0	0.33	6.26	19.39	0.45	2629831	8145755	189045	73.58	30920644.0
24_FR_6_2	35806584.0	148.0	21984358.0	61.4	163.01	4328592.0	4237111.0	4281693.0	30099.0	2814.0	13986.0	0.73	0.33	1.23	0.33	1.19	3766925.0	10.52	182348.0	0.51	6.39	20.7	0.48	2288291	7412772	171890	71.92	25751283.0
25_ZI_1_3	39786387.0	137.0	25391467.0	63.82	145.03	4924048.0	4829400.0	4869735.0	34765.0	3004.0	16544.0	0.87	0.33	1.28	0.3	1.24	4473653.0	11.24	104294.0	0.26	5.77	18.59	0.32	2295135	7394551	127287	75.06	29865120.0
26_FR_1_3	40738710.0	134.0	26599768.0	65.29	143.38	4806025.0	4713342.0	4754522.0	33923.0	2749.0	14831.0	0.68	0.31	1.21	0.29	1.18	4386144.0	10.77	214714.0	0.53	5.34	17.85	0.22	2175710	7272738	89636	76.06	30985912.0
27_ZI_2_3	42388173.0	132.0	27110931.0	63.96	141.99	4944328.0	4843010.0	4886339.0	35076.0	3583.0	19330.0	0.83	0.31	1.31	0.3	1.24	4746602.0	11.2	101296.0	0.24	5.25	19.06	0.29	2225775	8080622	122948	75.16	31857533.0
28_FR_2_3	41545615.0	142.0	25798074.0	62.1	156.44	5061403.0	4959626.0	5005718.0	35810.0	2934.0	16941.0	0.69	0.31	1.22	0.3	1.19	4478398.0	10.78	500663.0	1.21	5.71	19.83	0.38	2372223	8238386	157871	72.88	30276472.0
29_ZI_3_3	45553149.0	145.0	28115507.0	61.72	156.12	5454154.0	5335767.0	5389225.0	39572.0	3520.0	21837.0	0.88	0.35	1.3	0.3	1.26	4790876.0	10.52	116243.0	0.26	6.07	21.16	0.28	2764823	9638163	127537	72.24	32906383.0
2_FR_1_1	42781534.0	137.0	29153049.0	68.14	143.09	5251589.0	5146514.0	5194638.0	37020.0	3313.0	16618.0	0.67	0.31	1.21	0.28	1.18	4379782.0	10.24	225275.0	0.53	5.09	15.8	0.2	2177774	6760084	85571	78.38	33532831.0
30_FR_3_3	40948518.0	140.0	26429626.0	64.54	148.05	4535867.0	4433272.0	4484323.0	32531.0	3233.0	15780.0	0.74	0.33	1.23	0.31	1.19	4566821.0	11.15	198813.0	0.49	5.98	17.42	0.42	2448551	7132735	171972	75.69000000000001	30996447.0
31_ZI_4_3	36093691.0	138.0	22563741.0	62.51	149.19	4170230.0	4078496.0	4121067.0	29279.0	2777.0	17107.0	0.88	0.33	1.3	0.31	1.25	3848038.0	10.66	92661.0	0.26	5.9	20.33	0.34	2129341	7337203	122708	73.17	26411779.0
32_FR_4_3	28913268.0	134.0	18924005.0	65.45	140.54	3134105.0	3065450.0	3099791.0	21695.0	2068.0	10551.0	0.7	0.32	1.22	0.29	1.2	3104081.0	10.74	120273.0	0.42	5.38	17.72	0.3	1555351	5122829	86730	76.19	22028086.0
33_ZI_5_3	37832468.0	142.0	24322105.0	64.29	149.89	4477408.0	4375118.0	4424706.0	31203.0	2669.0	18830.0	0.86	0.33	1.33	0.32	1.25	4234572.0	11.19	119346.0	0.32	5.8	18.05	0.35	2194520	6829497	132428	75.48	28556677.0
34_FR_5_3	33689131.0	148.0	21916810.0	65.06	156.56	4185118.0	4099165.0	4138188.0	30003.0	2650.0	14277.0	0.76	0.34	1.22	0.32	1.2	3621955.0	10.75	113239.0	0.34	6.56	16.99	0.3	2210631	5725400	101096	75.81	25538765.0
35_ZI_6_3	41075756.0	136.0	25728889.0	62.64	144.36	4525190.0	4421815.0	4471962.0	31535.0	2907.0	18786.0	0.86	0.34	1.3	0.3	1.26	4665573.0	11.36	146800.0	0.36	5.43	19.81	0.41	2230109	8135997	168388	74.0	30394462.0
