Sample	miRNA	rRNA	tRNA	Artifact	Unknown
10_FR_5_1	25105381.0	69645754.0	7670558.0	928908.0	54774450.0
11_ZI_6_1	29279465.0	73469121.0	3591713.0	891592.0	55998872.0
12_FR_6_1	18798433.0	71109772.0	3314697.0	666130.0	50838515.0
13_ZI_1_2	7531470.0	90802638.0	4576152.0	838642.0	59408568.0
14_FR_1_2	8928717.0	94502215.0	2969199.0	807142.0	76871273.0
15_ZI_2_2	8049877.0	79055227.0	2600800.0	524896.0	63932950.0
16_FR_2_2	13840800.0	98706902.0	3825182.0	884574.0	82670301.0
17_ZI_3_2	8106412.0	79129258.0	2988480.0	693608.0	62617792.0
18_FR_3_2	9409817.0	71233052.0	3407157.0	699396.0	60272523.0
19_ZI_4_2	7110078.0	66900870.0	3175632.0	547252.0	53049059.0
1_ZI_1_1	11827236.0	116267450.0	5614054.0	864089.0	69075742.0
20_FR_4_2	16275289.0	72822129.0	4140149.0	861980.0	86606957.0
21_ZI_5_2	7389999.0	75106383.0	3052004.0	578432.0	61569528.0
22_FR_5_2	6605766.0	73650280.0	2704109.0	457282.0	52094400.0
23_ZI_6_2	10098473.0	89024292.0	2635426.0	712823.0	60946984.0
24_FR_6_2	22902668.0	154442861.0	7509971.0	1310233.0	145098368.0
25_ZI_1_3	6418767.0	81498009.0	4672758.0	604661.0	58368648.0
26_FR_1_3	6265703.0	96774897.0	4151197.0	542385.0	69985992.0
27_ZI_2_3	10672406.0	84744775.0	4950023.0	728911.0	65880949.0
28_FR_2_3	8964492.0	108546182.0	4985001.0	761820.0	65619067.0
29_ZI_3_3	20370057.0	136573797.0	8305526.0	1405115.0	116977566.0
2_FR_1_1	9645316.0	95591326.0	4456846.0	771556.0	59490206.0
30_FR_3_3	13491890.0	98177519.0	7515987.0	834588.0	85652353.0
31_ZI_4_3	8933807.0	95385771.0	4193826.0	709061.0	70686839.0
32_FR_4_3	4320353.0	107805215.0	2956899.0	622045.0	79587438.0
33_ZI_5_3	8811155.0	90832755.0	3840875.0	880293.0	79731514.0
34_FR_5_3	4303689.0	81133973.0	2413517.0	469823.0	59965819.0
35_ZI_6_3	10749472.0	65385743.0	3210232.0	733626.0	63755684.0
36_FR_6_3	12632535.0	77385739.0	3503521.0	846972.0	74520190.0
3_ZI_2_1	10788839.0	80758785.0	3726557.0	692700.0	52921796.0
4_FR_2_1	10654440.0	91864184.0	4160174.0	910449.0	84644098.0
5_ZI_3_1	17073382.0	64534582.0	3924629.0	616364.0	46312578.0
6_FR_3_1	30667426.0	61594440.0	4572964.0	704578.0	34071294.0
7_ZI_4_1	19785582.0	56731432.0	3187343.0	678943.0	45631638.0
8_FR_4_1	32105730.0	57366381.0	4607429.0	861943.0	51120077.0
9_ZI_5_1	19935183.0	59658165.0	4138280.0	664733.0	49194771.0
