omics_type,pool_name,sample_id,effective_reads,median_effective_reads,effective_reads_to_reach_median,raw_reads_needed,raw_reads_to_sequence,scaling_factor,total_effective_reads_expected_after_resequencing,proportion_within_pool,proportion_across_omics
ATAC-seq,ATAC-seq_1,31_ZI_4_3,0,17302417,17302417,163221133,259858158,1.5921,27546520,1.0,0.052
ATAC-seq,ATAC-seq_2,22_FR_5_2,8519289,17302417,8783128,81066306,129062581,1.5921,22502573,0.1129,0.0258
ATAC-seq,ATAC-seq_2,10_FR_5_1,11020985,17302417,6281432,227907089,362842207,1.5921,21021414,0.3174,0.0726
ATAC-seq,ATAC-seq_2,17_ZI_3_2,11617975,17302417,5684442,76306812,121485172,1.5921,20667959,0.1063,0.0243
ATAC-seq,ATAC-seq_2,9_ZI_5_1,11674695,17302417,5627722,68101257,108421421,1.5921,20634377,0.0948,0.0217
ATAC-seq,ATAC-seq_2,11_ZI_6_1,13556469,17302417,3745948,44264656,70472075,1.5921,19520250,0.0616,0.0141
ATAC-seq,ATAC-seq_2,6_FR_3_1,13824691,17302417,3477726,34068564,54239264,1.5921,19361446,0.0474,0.0108
ATAC-seq,ATAC-seq_2,21_ZI_5_2,13856724,17302417,3445693,37319108,59414332,1.5921,19342481,0.052,0.0119
ATAC-seq,ATAC-seq_2,28_FR_2_3,13870991,17302417,3431426,34703827,55250643,1.5921,19334034,0.0483,0.0111
ATAC-seq,ATAC-seq_2,14_FR_1_2,14763695,17302417,2538722,37538318,59763329,1.5921,18805498,0.0523,0.012
ATAC-seq,ATAC-seq_2,15_ZI_2_2,15200246,17302417,2102171,17726846,28222237,1.5921,18547033,0.0247,0.0056
ATAC-seq,ATAC-seq_2,7_ZI_4_1,15299219,17302417,2003198,16759734,26682534,1.5921,18488434,0.0233,0.0053
ATAC-seq,ATAC-seq_2,1_ZI_1_1,15467289,17302417,1835128,19411149,30903752,1.5921,18388926,0.027,0.0062
ATAC-seq,ATAC-seq_2,16_FR_2_2,16278193,17302417,1024224,8469198,13483487,1.5921,17908821,0.0118,0.0027
ATAC-seq,ATAC-seq_2,2_FR_1_1,16758912,17302417,543505,4488357,7145742,1.5921,17624206,0.0063,0.0014
ATAC-seq,ATAC-seq_2,33_ZI_5_3,17004344,17302417,298073,3195691,5087739,1.5921,17478895,0.0045,0.001
ATAC-seq,ATAC-seq_2,18_FR_3_2,17027352,17302417,275065,3168276,5044092,1.5921,17465272,0.0044,0.001
ATAC-seq,ATAC-seq_2,23_ZI_6_2,17050618,17302417,251799,3566668,5678357,1.5921,17451498,0.005,0.0011
RNA-seq,RNA-seq,32_FR_4_3,22028086,30991180,8963094,106739193,169935409,1.5921,36297886,0.1486,0.034
RNA-seq,RNA-seq,10_FR_5_1,22260586,30991180,8730594,111854600,178079454,1.5921,36160232,0.1557,0.0356
RNA-seq,RNA-seq,13_ZI_1_2,24909064,30991180,6082116,79885315,127182371,1.5921,34592169,0.1112,0.0254
RNA-seq,RNA-seq,22_FR_5_2,25323229,30991180,5667950,67299495,107144966,1.5921,34346957,0.0937,0.0214
RNA-seq,RNA-seq,34_FR_5_3,25538765,30991180,5452414,71709918,114166633,1.5921,34219347,0.0998,0.0228
RNA-seq,RNA-seq,24_FR_6_2,25751283,30991180,5239896,63961413,101830532,1.5921,34093523,0.089,0.0204
RNA-seq,RNA-seq,31_ZI_4_3,26411779,30991180,4579400,60206449,95852397,1.5921,33702468,0.0838,0.0192
RNA-seq,RNA-seq,19_ZI_4_2,27189166,30991180,3802014,44761406,71262932,1.5921,33242207,0.0623,0.0143
RNA-seq,RNA-seq,33_ZI_5_3,28556677,30991180,2434502,29037895,46230129,1.5921,32432556,0.0404,0.0092
RNA-seq,RNA-seq,12_FR_6_1,29039764,30991180,1951416,22471583,35776152,1.5921,32146538,0.0313,0.0072
RNA-seq,RNA-seq,21_ZI_5_2,29600948,30991180,1390232,15391255,24503831,1.5921,31814283,0.0214,0.0049
